Type,Aggregation,Statement,Matrix_A,Matrix_B,Vector_V,Execution,Heap,RSS,Database-L2-Norm,Tensorflow-L2-Norm,Database-MSE,Tensorflow-MSE,Database-Sum,Tensorflow-Sum
float8,standard,4,25000000,25000000,5000,19.484451,0.00890625,0.038427734375,4.3860127184753527e-07,0.0,3.847421513325511e-17,0.0,15611331607.764614,15611331607.76461
float4,standard,3,25000000,25000000,5000,4.909715,0.008916015625,0.0384765625,1185.1331704672168,0.007092138757622761,280.90812634833543,1.0059686431474985e-08,6245103.8325,6245687.5
float4,standard,4,25000000,25000000,5000,15.2337,0.008935546875,0.038876953125,238.80761430029818,15049.916910275355,11.405815329559996,45299.99980123841,15611331454.0,15610268000.0
float8,standard,3,56250000,56250000,7500,19.876672,0.0096875,0.039853515625,1757.847327982107,0.0,412.0036304658444,0.0,13994264.175728515,13993469.418190004
float8,standard,4,56250000,56250000,7500,43.137782,0.009833984375,0.040361328125,1.4249399741711596e-06,0.0,2.7072719066545405e-16,0.0,52475671384.388916,52475671384.3889
float4,standard,3,56250000,56250000,7500,20.223167,0.009765625,0.03919921875,1757.8474451192283,0.012853344285286793,412.0036853749598,2.2027794575481958e-08,13994264.2207,13993470.0
float4,standard,4,56250000,56250000,7500,47.47083,0.009853515625,0.040830078125,758.7938247590296,58157.722142675804,76.76907579899158,450976.0859766245,52475672098.5,52470637000.0
float8,standard,3,100000000,100000000,10000,45.975775,0.01025390625,0.04025390625,2357.6228907291,0.0,555.8385694889838,0.0,25067537.1102097,25068973.446311943
float8,standard,4,100000000,100000000,10000,104.242082,0.00619140625,0.036396484375,3.5024906189193763e-06,0.0,1.2267440535618235e-15,0.0,125353171578.35623,125353171578.35623
float4,standard,3,100000000,100000000,10000,51.049027,0.010009765625,0.04076171875,2357.622432606983,0.016213711597645276,555.8383534731668,2.6288444377161692e-08,25067536.7304,25068976.0
float4,standard,4,100000000,100000000,10000,107.165825,0.010087890625,0.041494140625,1878.3760513182312,172146.04522853924,352.829659016587,2963426.088782628,125353172129.0,125335960000.0
