Type,Aggregation,Statement,Matrix_A,Matrix_B,Vector_V,Execution,Heap,RSS,Database-L2-Norm,Tensorflow-L2-Norm,Database-MSE,Tensorflow-MSE,Database-Sum,Tensorflow-Sum
float,standard,4,360000,360000,600,0.227865,0.20509765625,0.280732421875,9.651277346464112e-10,11.15685354210436,1.5524525736395223e-21,0.207458968266611,28619858.51712101,28619780.0
float8,standard,1,490000,490000,700,1.904879,1.8,10.9,2.8661382377715927e-08,0.0,1.1735354854309216e-18,0.0,44517205.00207417,44517205.002074204
float8,standard,3,490000,490000,700,0.23736,0.033955078125,0.281376953125,171.70453875583843,0.0,42.11778375622174,0.0,127234.71089050623,127298.98304723695
float8,standard,4,490000,490000,700,0.220761,0.27150390625,0.286552734375,1.3297098697964712e-09,0.0,2.5258976254773553e-21,0.0,44517205.0020742,44517205.002074204
float,standard,1,490000,490000,700,1.97451,1.8,10.9,3.021259724356874e-08,15.029439560003345,1.3040014745744246e-18,0.32269150498256216,44517205.00207419,44517020.0
float,standard,3,490000,490000,700,0.203479,0.03412109375,0.264755859375,171.7045387558392,0.00021161109748505681,42.117783756222124,6.397036654118602e-11,127234.71089050623,127298.984
float,standard,4,490000,490000,700,0.219716,0.27146484375,0.28830078125,1.36675721547426e-09,15.029439560003345,2.668607551501361e-21,0.32269150498256216,44517205.00207421,44517020.0
float8,standard,1,640000,640000,800,2.575591,1.81,16.14,5.321440812832581e-08,0.0,3.539716540560035e-18,0.0,64806418.75803619,64806418.758036226
float8,standard,3,640000,640000,800,0.239065,0.040029296875,0.3111328125,182.54056764598593,0.0,41.65132354564846,0.0,161912.67141826297,162043.52342613804
float8,standard,4,640000,640000,800,0.232974,0.34791015625,0.296552734375,1.8563248066185258e-09,0.0,4.307427234584134e-21,0.0,64806418.75803624,64806418.758036226
float,standard,1,640000,640000,800,2.650174,1.81,16.16,5.6385982627411234e-08,29.774080793984613,3.9742237960734015e-18,1.1081198589084043,64806418.75803625,64805730.0
float,standard,3,640000,640000,800,0.233038,0.039208984375,0.310166015625,182.5405676459856,0.0003537328493011923,41.6513235456483,1.5640866084342503e-10,161912.67141826294,162043.53
